Fairness Metrics,GB Starting value,GB Unawareness,Disparate Impact,Reweighting,Equalised Odds,Reject Option Classification
Base_rate,0.3627,0.37611666666666665,0.3593388888888889,0.37611666666666665,0.29677777777777775,0.37611666666666665
Consistency,0.0,0.0,0.0,0.0,0.0,0.0
Disparate_impact,2.224434080264355,1.310508655384853,1.3495714746032244,1.310508655384853,1.136328020465911,1.310508655384853
Mean_difference,0.3634648165329909,0.10787196208688327,0.1171103871930782,0.10787196208688327,0.05007035132184268,0.10787196208688327
Num_instances,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0
Num_negatives,114714.0,112299.0,115319.0,112299.0,126580.0,112299.0
Num_positives,65286.0,67701.0,64681.0,67701.0,53420.0,67701.0
Smoothed_empirical_differential_fairness,4.12434159883099,3.8708022842952836,3.573632235326629,3.8708022842952836,9.811010790975425,3.8708022842952836
AverageOddsDifference,0.30493186100003233,0.05934094306229187,0.069966245704115,0.05934094306229187,-0.0008341890650949424,0.05934094306229187
AveragAbsOddsDifference,0.30493186100003233,0.05934094306229187,0.069966245704115,0.05934094306229187,0.002664941504424284,0.05934094306229187
EqualOpportunityDifference,0.28066029595152897,0.06882674942763778,0.08231820278939017,0.06882674942763778,-0.0034991305695192265,0.06882674942763778
Errorrate,0.30542222222222226,0.3162055555555555,0.30689444444444447,0.3162055555555555,0.3049777777777778,0.3162055555555555
ErrorrateRatio,1.5600734698847722,1.0811074191055947,1.0988965961911825,1.0811074191055947,1.0383529135113303,1.0811074191055947
FalseDiscoveryRate,0.6381306865177833,0.6475384410865423,0.6414712202965323,0.6475384410865423,0.668064395357544,0.6475384410865423
FalseDiscoveryRatio,0.8655473381119134,0.7233152351464303,0.723685642960377,0.7233152351464303,0.7151445503994162,0.7233152351464303
FalseOmissionRate,0.1160712729047893,0.11645695865501919,0.11923447133603308,0.11645695865501919,0.15174593142676568,0.11645695865501919
FalseOmissionRatio,1.3907810701837355,1.8311043706052668,1.793750939741344,1.8311043706052668,2.041053535357246,1.8311043706052668
