Fairness Metrics,RF Starting value,RF Unawareness,Disparate Impact,Reweighting,Equalised Odds,Reject Option Classification
accuracy_overall,0.6915833333333333,0.6816555555555556,0.6774555555555556,0.6811666666666667,0.6906277777777777,0.6804166666666667
f1_score_overall,0.44834199517057033,0.44739329180087567,0.44939493949394943,0.44742923165800114,0.38620005511160094,0.4468164902056948
f1_score_White,0.41866213006355524,0.41772796739684154,0.4183839671411373,0.4176623830245521,0.4090587009378256,0.4172726612961753
accuracy_White,0.7220491413312052,0.6930201507082675,0.6848862014456943,0.6929587624119462,0.6736214490707346,0.6919305084485643
false_negative_rate_White,0.450890413842462,0.39586578537447903,0.37818380836104915,0.3959078853197491,0.3802467056792826,0.3948553866879973
false_omission_rate_White,0.11671370813944618,0.11014923974416044,0.10762466153883019,0.11016869728209934,0.11001754044045994,0.11011317742086973
true_positive_rate_White,0.549109586157538,0.604134214625521,0.6218161916389509,0.6040921146802509,0.6197532943207174,0.6051446133120026
positive_predictive_value_White,0.3382959408637012,0.31922940024915464,0.31524801502603944,0.31916455358334445,0.3052756003483887,0.3184174383057906
false_positive_rate_White,0.23940318115704032,0.28716745648195935,0.3010556937080655,0.28723314409046125,0.31437151034579836,0.28872519119786044
false_discovery_rate_White,0.6617040591362988,0.6807705997508453,0.6847519849739605,0.6808354464166555,0.6947243996516113,0.6815825616942094
average_odds_White,0.39425638365728916,0.4456508355537402,0.4614359426735082,0.44566262938535606,0.46706240233325785,0.44693490225493154
prevelence_rate_White,0.1822695253149987,0.1822695253149987,0.1822695253149987,0.1822695253149987,0.1822695253149987,0.1822695253149987
f1_score_Black,0.55883710198431,0.5740688354549741,0.5801287948482061,0.5750070628119409,0.5550486014679626,0.5741176470588235
accuracy_Black,0.5692076605332332,0.6607585429966204,0.657228689447991,0.6610589560645888,0.6630867442733759,0.6601577168606835
false_negative_rate_Black,0.1960610754591724,0.3263996459393671,0.30227926532418675,0.3244080548793981,0.38083646824518697,0.32507191856605444
false_omission_rate_Black,0.1833609271523179,0.20403928620832756,0.1961516369902355,0.2031878031878032,0.22200722394220845,0.20377306145096408
true_positive_rate_Black,0.8039389245408276,0.6736003540606329,0.6977207346758132,0.6755919451206019,0.619163531754813,0.6749280814339456
positive_predictive_value_Black,0.42826830130849936,0.5001643115346698,0.4964572508266415,0.5004918032786885,0.5029660255257954,0.49950867998689813
false_positive_rate_Black,0.5513869940882219,0.34583901773533426,0.3635743519781719,0.3464074579354252,0.3143474306502956,0.3474306502955889
false_discovery_rate_Black,0.5717316986915006,0.4998356884653303,0.5035427491733585,0.49950819672131147,0.49703397447420455,0.5004913200131018
average_odds_Black,0.6776629593145247,0.5097196858979836,0.5306475433269926,0.5109997015280136,0.4667554812025543,0.5111793658647672
prevelence_rate_Black,0.3393916635373639,0.3393916635373639,0.3393916635373639,0.3393916635373639,0.3393916635373639,0.3393916635373639
